Date,Open,High,Low,Close,Volume,Date
2018-03-27 10:50:00,220.92,221.36,220.52,220.65,35609.0,2018-03-27 10:50:00
2018-03-27 10:55:00,220.29,220.95,220.24,220.9,20587.0,2018-03-27 10:55:00
2018-03-27 11:00:00,219.58,220.36,219.45,220.24,30926.0,2018-03-27 11:00:00
2018-03-27 11:05:00,219.8,220.21,219.59,219.61,22612.0,2018-03-27 11:05:00
2018-03-27 11:10:00,220.27,220.35,219.83,219.83,19964.0,2018-03-27 11:10:00
2018-03-27 11:15:00,220.43,220.51,220.06,220.28,24367.0,2018-03-27 11:15:00
2018-03-27 11:20:00,220.36,220.69,219.89,220.52,24383.0,2018-03-27 11:20:00
2018-03-27 11:25:00,219.535,220.27,219.34,220.27,21750.0,2018-03-27 11:25:00
2018-03-27 11:30:00,219.52,219.66,219.26,219.51,19701.0,2018-03-27 11:30:00
2018-03-27 11:35:00,218.89,219.5,218.89,219.49,25764.0,2018-03-27 11:35:00
2018-03-27 11:40:00,218.96,219.109,218.33,218.89,27921.0,2018-03-27 11:40:00
2018-03-27 11:45:00,219.23,219.23,218.74,219.03,21737.0,2018-03-27 11:45:00
2018-03-27 11:50:00,219.53,219.61,218.9,219.22,29285.0,2018-03-27 11:50:00
2018-03-27 11:55:00,220.01,220.065,219.49,219.53,26758.0,2018-03-27 11:55:00
2018-03-27 12:00:00,219.89,220.1299,219.68,220.0756,13700.0,2018-03-27 12:00:00
2018-03-27 12:05:00,220.03,220.23,219.8,219.86,16150.0,2018-03-27 12:05:00
2018-03-27 12:10:00,220.02,220.59,219.94,220.01,18861.0,2018-03-27 12:10:00
2018-03-27 12:15:00,219.52,220.0,219.52,219.96,16380.0,2018-03-27 12:15:00
2018-03-27 12:20:00,219.655,219.8,219.27,219.52,17345.0,2018-03-27 12:20:00
2018-03-27 12:25:00,219.94,220.109,219.45,219.6,23274.0,2018-03-27 12:25:00
2018-03-27 12:30:00,220.18,220.37,219.75,219.83,14064.0,2018-03-27 12:30:00
2018-03-27 12:35:00,220.23,220.25,219.96,220.13,20510.0,2018-03-27 12:35:00
2018-03-27 12:40:00,219.95,220.23,219.63,220.17,26925.0,2018-03-27 12:40:00
2018-03-27 12:45:00,220.48,220.48,219.95,219.95,22672.0,2018-03-27 12:45:00
2018-03-27 12:50:00,220.44,220.55,220.235,220.5,17132.0,2018-03-27 12:50:00
2018-03-27 12:55:00,220.76,220.78,220.3,220.465,31757.0,2018-03-27 12:55:00
2018-03-27 13:00:00,221.41,221.46,220.77,220.77,19366.0,2018-03-27 13:00:00
2018-03-27 13:05:00,221.56,221.62,221.34,221.4167,17916.0,2018-03-27 13:05:00
2018-03-27 13:10:00,221.35,221.63,221.35,221.63,9900.0,2018-03-27 13:10:00
2018-03-27 13:15:00,221.76,221.86,221.29,221.3768,13483.0,2018-03-27 13:15:00
2018-03-27 13:20:00,221.33,221.82,221.18,221.78,16338.0,2018-03-27 13:20:00
2018-03-27 13:25:00,221.335,221.38,221.17,221.3,17279.0,2018-03-27 13:25:00
2018-03-27 13:30:00,221.53,221.61,221.205,221.29,7953.0,2018-03-27 13:30:00
2018-03-27 13:35:00,221.33,221.55,221.1,221.55,20198.0,2018-03-27 13:35:00
