,Date,Open,High,Low,Close,Adj Close,Volume,100da,40da,20da,Up or Down
0,2000-01-03,48.03125,48.25,47.03125,47.1875,30.614885,2173400,30.614885,30.614885,30.614885,-0.01756668835393624
1,2000-01-04,46.4375,47.40625,45.3125,45.3125,29.398392,2713800,30.0066385,30.0066385,30.0066385,-0.024226110363391656
2,2000-01-05,45.5625,48.125,45.5625,46.625,30.249941,3699400,30.08773933333333,30.08773933333333,30.08773933333333,0.023319615912208505
3,2000-01-06,47.15625,51.25,47.15625,50.375,32.682891999999995,5975800,30.736527499999998,30.736527499999998,30.736527499999998,0.0682571239231279
4,2000-01-07,50.5625,51.90625,49.96875,51.375,33.331699,4101200,31.2555618,31.2555618,31.2555618,0.016069221260815822
5,2000-01-10,50.21875,51.75,50.0,51.125,33.169502,3863800,31.57455183333333,31.57455183333333,31.57455183333333,0.01804604853764779
6,2000-01-11,50.375,51.25,50.25,50.25,32.60181,2357600,31.721303,31.721303,31.721303,-0.0024813895781637717
7,2000-01-12,50.96875,51.8125,50.375,50.375,32.682891999999995,2868400,31.841501625,31.841501625,31.841501625,-0.011649294911097487
8,2000-01-13,50.65625,50.9375,50.1875,50.375,32.682891999999995,2244400,31.93498944444444,31.93498944444444,31.93498944444444,-0.005552128315854411
9,2000-01-14,50.375,50.46875,49.46875,49.65625,32.216590999999994,2541800,31.963149599999998,31.963149599999998,31.963149599999998,-0.014267990074441687
10,2000-01-18,48.625,49.625,48.5625,48.5625,31.506969,2114800,31.921678636363637,31.921678636363637,31.921678636363637,-0.0012853470437017994
11,2000-01-19,48.875,49.96875,48.875,49.40625,32.054379,2628200,31.932737,31.932737,31.932737,0.010869565217391304
12,2000-01-20,49.53125,49.6875,47.25,47.5625,30.858177,3104600,31.85007853846154,31.85007853846154,31.85007853846154,-0.03974763406940063
13,2000-01-21,47.625,48.28125,47.28125,47.46875,30.797356,4491800,31.77488407142857,31.77488407142857,31.77488407142857,-0.0032808398950131233
14,2000-01-24,47.90625,47.90625,45.8125,46.375,30.087738,2971000,31.662407666666663,31.662407666666663,31.662407666666663,-0.0319634703196347
15,2000-01-25,47.4375,47.4375,45.125,45.6875,29.641685,3691200,31.536112499999998,31.536112499999998,31.536112499999998,-0.03689064558629776
16,2000-01-26,47.9375,48.75,47.65625,48.15625,31.243397,7020800,31.51889394117647,31.51889394117647,31.51889394117647,0.0045632333767926985
