,Date,Open,High,Low,Close,Volume,Adj Close,Up or Down,100da,40da,20da
0,6/29/2010,19.0,25.0,17.540001,23.889999,18766300,23.889999,1.0,23.889999,23.889999,23.889999
1,6/30/2010,25.790001,30.42,23.299999,23.83,17187100,23.83,-1.0,23.8599995,23.8599995,23.8599995
2,7/1/2010,25.0,25.92,20.27,21.959999,8218800,21.959999,-1.0,23.226665999999998,23.226665999999998,23.226665999999998
3,7/2/2010,23.0,23.1,18.709999,19.200001,5139800,19.200001,-1.0,22.21999975,22.21999975,22.21999975
4,7/6/2010,20.0,20.0,15.83,16.110001,6866900,16.110001,-1.0,20.997999999999998,20.997999999999998,20.997999999999998
5,7/7/2010,16.4,16.629998999999998,14.98,15.8,6921700,15.8,-1.0,20.131666666666664,20.131666666666664,20.131666666666664
6,7/8/2010,16.139999,17.52,15.57,17.459999,7711400,17.459999,1.0,19.749999857142857,19.749999857142857,19.749999857142857
7,7/9/2010,17.58,17.9,16.549999,17.4,4050600,17.4,-1.0,19.456249875,19.456249875,19.456249875
8,7/12/2010,17.950001,18.07,17.0,17.049999,2202500,17.049999,-1.0,19.188888666666667,19.188888666666667,19.188888666666667
9,7/13/2010,17.389999,18.639999,16.9,18.139999,2680100,18.139999,1.0,19.0839997,19.0839997,19.0839997
10,7/14/2010,17.940001000000002,20.15,17.76,19.84,4195200,19.84,1.0,19.152727,19.152727,19.152727
11,7/15/2010,19.940001000000002,21.5,19.0,19.889999,3739800,19.889999,-1.0,19.21416633333333,19.21416633333333,19.21416633333333
12,7/16/2010,20.700001,21.299999,20.049999,20.639999,2621300,20.639999,-1.0,19.323845769230765,19.323845769230765,19.323845769230765
13,7/19/2010,21.370001000000002,22.25,20.92,21.91,2486500,21.91,1.0,19.50857107142857,19.50857107142857,19.50857107142857
14,7/20/2010,21.85,21.85,20.049999,20.299999,1825300,20.299999,-1.0,19.561332933333333,19.561332933333333,19.561332933333333
15,7/21/2010,20.66,20.9,19.5,20.219998999999998,1252500,20.219998999999998,-1.0,19.602499562499997,19.602499562499997,19.602499562499997
16,7/22/2010,20.5,21.25,20.370001000000002,21.0,957800,21.0,1.0,19.68470547058823,19.68470547058823,19.68470547058823
17,7/23/2010,21.190001000000002,21.559998999999998,21.059998999999998,21.290001,653600,21.290001,1.0,19.773888555555555,19.773888555555555,19.773888555555555
18,7/26/2010,21.5,21.5,20.299999,20.950001,922200,20.950001,-1.0,19.835789210526315,19.835789210526315,19.835789210526315
19,7/27/2010,20.91,21.18,20.26,20.549999,619700,20.549999,-1.0,19.871499699999998,19.871499699999998,19.871499699999998
