Date,Open,High,Low,Close,Adj Close,Volume,300ma,100ma,80ma,40ma,20ma
2017-01-03,103.43,104.029999,102.809998,103.480003,103.480003,2277400,103.480003,103.480003,103.480003,103.480003,103.480003
2017-01-04,103.739998,104.370003,103.5,104.139999,104.139999,1712600,103.810001,103.810001,103.810001,103.810001,103.810001
2017-01-05,104.129997,106.019997,103.769997,105.910004,105.910004,2504000,104.510002,104.510002,104.510002,104.510002,104.510002
2017-01-06,105.980003,108.43,105.25,108.300003,108.300003,2625600,105.45750225,105.45750225,105.45750225,105.45750225,105.45750225
2017-01-09,107.959999,108.790001,107.559998,108.57,108.57,2925000,106.08000179999999,106.08000179999999,106.08000179999999,106.08000179999999,106.08000179999999
2017-01-10,108.57,108.790001,107.610001,108.260002,108.260002,3081000,106.44333516666666,106.44333516666666,106.44333516666666,106.44333516666666,106.44333516666666
2017-01-11,108.230003,109.050003,108.0,108.989998,108.989998,1784000,106.80714414285714,106.80714414285714,106.80714414285714,106.80714414285714,106.80714414285714
2017-01-12,107.989998,108.739998,107.160004,108.589996,108.589996,1617900,107.030000625,107.030000625,107.030000625,107.030000625,107.030000625
2017-01-13,108.839996,108.900002,107.980003,108.529999,108.529999,1593500,107.19666711111111,107.19666711111111,107.19666711111111,107.19666711111111,107.19666711111111
2017-01-17,107.790001,108.050003,107.059998,108.0,108.0,1696200,107.27700039999999,107.27700039999999,107.27700039999999,107.27700039999999,107.27700039999999
2017-01-18,108.5,109.169998,107.529999,108.790001,108.790001,2536900,107.41454590909092,107.41454590909092,107.41454590909092,107.41454590909092,107.41454590909092
2017-01-19,108.629997,109.980003,108.040001,109.790001,109.790001,3090500,107.61250050000001,107.61250050000001,107.61250050000001,107.61250050000001,107.61250050000001
2017-01-20,110.019997,110.809998,109.57,110.709999,110.709999,3179200,107.85076961538462,107.85076961538462,107.85076961538462,107.85076961538462,107.85076961538462
2017-01-23,110.709999,111.919998,110.300003,110.970001,110.970001,2574200,108.07357185714285,108.07357185714285,108.07357185714285,108.07357185714285,108.07357185714285
2017-01-24,111.459999,114.169998,111.339996,113.720001,113.720001,3654400,108.45000046666665,108.45000046666665,108.45000046666665,108.45000046666665,108.45000046666665
2017-01-25,113.769997,114.57,113.290001,114.25,114.25,3919300,108.81250043749999,108.81250043749999,108.81250043749999,108.81250043749999,108.81250043749999
2017-01-26,113.790001,114.440002,112.730003,112.879997,112.879997,2745200,109.05176494117646,109.05176494117646,109.05176494117646,109.05176494117646,109.05176494117646
2017-01-27,113.07,114.010002,112.75,113.989998,113.989998,1696800,109.32611122222221,109.32611122222221,109.32611122222221,109.32611122222221,109.32611122222221
2017-01-30,113.220001,113.870003,112.260002,113.82,113.82,2176500,109.56263168421052,109.56263168421052,109.56263168421052,109.56263168421052,109.56263168421052
2017-01-31,113.220001,113.75,112.699997,113.379997,113.379997,1716600,109.75349994999999,109.75349994999999,109.75349994999999,109.75349994999999,109.75349994999999
2017-02-01,113.309998,113.639999,112.68,113.360001,113.360001,1859100,109.92523809523809,109.92523809523809,109.92523809523809,109.92523809523809,110.24749984999998
2017-02-02,112.82,113.580002,112.269997,113.160004,113.160004,1695400,110.0722729090909,110.0722729090909,110.0722729090909,110.0722729090909,110.69850009999998
2017-02-03,113.550003,115.449997,113.419998,115.169998,115.169998,2507500,110.29391313043476,110.29391313043476,110.29391313043476,110.29391313043476,111.16149979999997
2017-02-06,114.68,114.830002,113.290001,114.459999,114.459999,3067500,110.46750004166665,110.46750004166665,110.46750004166665,110.46750004166665,111.46949959999999
2017-02-07,114.830002,115.190002,114.540001,114.959999,114.959999,1643500,110.6472,110.6472,110.6472,110.6472,111.78899955
2017-02-08,115.0,116.379997,114.449997,116.129997,116.129997,2591700,110.8580768076923,110.8580768076923,110.8580768076923,110.8580768076923,112.18249929999999
2017-02-09,116.260002,116.900002,116.019997,116.440002,116.440002,1688900,111.06481477777777,111.06481477777777,111.06481477777777,111.06481477777777,112.55499949999998
